feature,count,mean,std,min,25%,50%,75%,max,missing_rate
rainfall_10min,4166.0,3.1584973595775327,50.08926153433344,-5.0,0.0,0.0,0.0,999.0,0.0356
roll_30min_sum,4293.0,9.19517819706499,85.19833099006244,-5.0,0.0,0.0,0.0,1004.8000000000001,0.0063
roll_1h_sum,4299.0,18.364689462665737,119.83214670085967,-5.0,0.0,0.0,0.0,1013.7,0.0049
roll_3h_sum,4320.0,54.826249999999995,203.1901855831311,-6.7,0.0,0.0,0.2,1056.5,0.0
roll_1h_mean,4299.0,3.130480344266108,20.309868823876847,-1.1,0.0,0.0,0.0,202.74,0.0049
roll_1h_max,4299.0,17.687625029076532,119.70625488949041,0.0,0.0,0.0,0.0,999.0,0.0049
diff_1,4320.0,0.13921296296296296,69.43681385039822,-999.0,0.0,0.0,0.0,999.0,0.0
is_zero,4320.0,0.8782407407407408,0.32704541122367264,0.0,1.0,1.0,1.0,1.0,0.0
consecutive_zero_len,4320.0,31.013425925925926,28.20412817064625,0.0,12.0,25.0,43.0,123.0,0.0
consecutive_same_value_len,4320.0,31.319444444444443,27.913417412642055,1.0,13.0,25.0,43.0,123.0,0.0
hour_sin,4320.0,-1.3158198810372226e-17,0.707188636460444,-1.0,-0.7071067811865472,6.123233995736766e-17,0.7071067811865476,1.0,0.0
hour_cos,4320.0,-4.4408920985006264e-17,0.707188636460444,-1.0,-0.7071067811865476,-6.123233995736766e-17,0.7071067811865475,1.0,0.0
dayofyear_sin,4320.0,0.2600688387814808,0.14245454566912663,0.01716632975470737,0.13690605792347574,0.2629525154570694,0.3846650997070012,0.4925480679538644,0.0
dayofyear_cos,4320.0,-0.9541904079442675,0.039957903023090505,-0.9998526477050269,-0.9905840354577969,-0.9647705936995142,-0.923056206884176,-0.8702852410301553,0.0
water_level_m,4320.0,1.3531768518518519,0.31079694217433834,1.189,1.203,1.23,1.336,3.511,0.0
water_level_m_diff_1,4320.0,0.000175,0.012446316303815137,-0.038000000000000256,-0.004999999999999893,-0.001000000000000112,0.0029999999999998916,0.1399999999999999,0.0
water_level_m_roll_1h_mean,4320.0,1.3527324228395063,0.3098563028613932,1.1963333333333332,1.2018333333333333,1.23025,1.3344166666666666,3.4894999999999996,0.0
humidity_pct,4320.0,66.17372685185185,7.4786891489323954,51.4,60.0,65.8,71.2,95.1,0.0
humidity_pct_diff_1,4320.0,-0.0007175925925925929,2.9319624392524326,-20.6,-1.9000000000000057,0.0,1.9000000000000057,20.599999999999994,0.0
humidity_pct_roll_1h_mean,4320.0,66.17433641975308,7.15813372432099,55.06666666666666,59.762499999999996,65.96666666666665,71.36666666666666,92.3,0.0
temperature_c,4320.0,25.844953703703702,3.5880854906225292,17.4,22.4,25.9,29.3,32.0,0.0
temperature_c_diff_1,4320.0,-2.3148148148148476e-05,0.5965226853357796,-2.6000000000000014,-0.3999999999999986,0.0,0.3999999999999986,2.6000000000000014,0.0
temperature_c_roll_1h_mean,4320.0,25.844930555555553,3.5567667610060223,18.316666666666666,22.383333333333336,25.816666666666666,29.316666666666666,31.349999999999998,0.0
